"N","procedure","mean","sd"
"25","ADDIS-spending","0.0723926666666667","0.0251378533435659"
"25","AOB","0.026032","0.0135878252290424"
"25","OB","0.024094","0.0124145576961463"
"25","rhoAOB","0.205718","0.0347264638417348"
"25","rhoOB","0.175052","0.0319078046203191"
"50","ADDIS-spending","0.35417","0.0483011842550475"
"50","AOB","0.201722","0.0333265860491189"
"50","OB","0.183474","0.0305458883615495"
"50","rhoAOB","0.570889333333333","0.0464558381768351"
"50","rhoOB","0.506284666666667","0.0459622888449461"
"75","ADDIS-spending","0.594948","0.0439627558476889"
"75","AOB","0.526022","0.0419089494128996"
"75","OB","0.474861333333333","0.0401652681193408"
"75","rhoAOB","0.823239333333333","0.0345216728178831"
"75","rhoOB","0.767129333333333","0.0387105241363681"
"100","ADDIS-spending","0.824436666666667","0.0328564816767126"
"100","AOB","0.78337","0.034179524923445"
"100","OB","0.737354","0.0354967325135039"
"100","rhoAOB","0.946611333333333","0.019594211117341"
"100","rhoOB","0.918814666666667","0.0240912091198825"
"125","ADDIS-spending","0.959066666666667","0.0170354570956468"
"125","AOB","0.911876666666667","0.0236052832797586"
"125","OB","0.893153333333333","0.0252740607042302"
"125","rhoAOB","0.985204666666667","0.0102259860579244"
"125","rhoOB","0.973912666666667","0.0133891361353973"
"150","ADDIS-spending","0.983304666666667","0.0106921336273675"
"150","AOB","0.973933333333333","0.012974982402692"
"150","OB","0.964068","0.0151619013719985"
"150","rhoAOB","0.996571333333333","0.00483987242633285"
"150","rhoOB","0.993042","0.00685953085411648"
