"rectangular_kernel_bandwidth_h","procedure","fwer_bandwidth_10","fwer_bandwidth_30","fwer_bandwidth_50","fwer_bandwidth_70","fwer_bandwidth_90","fwer_bandwidth_100"
"0.1","rhoAOB","0.1383","0.1097","0.08","0.06","0.0398","0.0349"
"0.1","rhoOB","0.1119","0.0965","0.0778","0.0629","0.0547","0.0471"
"0.2","rhoAOB","0.1325","0.1047","0.0809","0.0575","0.0427","0.0392"
"0.2","rhoOB","0.0751","0.0627","0.0536","0.0413","0.0341","0.0365"
"0.3","rhoAOB","0.1244","0.1102","0.0784","0.0573","0.0442","0.0394"
"0.3","rhoOB","0.0564","0.0489","0.0352","0.0296","0.0268","0.0261"
"0.4","rhoAOB","0.1134","0.0996","0.0738","0.0584","0.0497","0.044"
"0.4","rhoOB","0.0377","0.0339","0.0222","0.0251","0.0194","0.0228"
"0.5","rhoAOB","0.1062","0.0809","0.076","0.0608","0.0481","0.0425"
"0.5","rhoOB","0.0264","0.0219","0.0193","0.0202","0.016","0.0144"
"0.6","rhoAOB","0.0962","0.0803","0.0695","0.0517","0.0467","0.0429"
"0.6","rhoOB","0.0216","0.0142","0.014","0.0122","0.0112","0.0111"
"0.7","rhoAOB","0.0742","0.0727","0.0604","0.0503","0.0422","0.0374"
"0.7","rhoOB","0.0124","0.0098","0.0082","0.0099","0.0075","0.0082"
"0.8","rhoAOB","0.0549","0.05","0.0461","0.0412","0.0343","0.035"
"0.8","rhoOB","0.0065","0.0062","0.0057","0.0042","0.0048","0.0049"
"0.9","rhoAOB","0.0292","0.0276","0.0277","0.0251","0.0226","0.0228"
"0.9","rhoOB","0.0037","0.0033","0.0025","0.0025","0.0024","0.0018"
"1","rhoAOB","0","0","0","0","0","0"
"1","rhoOB","0","0","0","0","0","0"
