"rectangular_kernel_bandwidth_h","procedure","mean_bandwidth_10","mean_bandwidth_30","mean_bandwidth_50","mean_bandwidth_70","mean_bandwidth_90","mean_bandwidth_100","sd_bandwidth_10","sd_bandwidth_30","sd_bandwidth_50","sd_bandwidth_70","sd_bandwidth_90","sd_bandwidth_100"
"0.1","rhoAOB","0.229988","0.244758","0.227418","0.217342","0.206766","0.200332","0.0641068703422848","0.0619388817989787","0.0600194427610831","0.0581696949221907","0.0580065316992145","0.057261310339235"
"0.1","rhoOB","0.173136","0.227766","0.224204","0.216126","0.207348","0.206294","0.0523935111631316","0.0595201101170927","0.0593986464822254","0.0577810175455474","0.0573530804193058","0.0566923889662155"
"0.2","rhoAOB","0.227073","0.243981","0.231975","0.221359","0.209467","0.202425","0.0492287011559492","0.0457096332960308","0.0436607375224022","0.0426366615425123","0.0421789499321846","0.041751690928267"
"0.2","rhoOB","0.130317","0.188455","0.198479","0.198229","0.1938","0.192619","0.0327853168156092","0.0391506864898339","0.0406834373327442","0.0407688578326263","0.0401362814932974","0.0401608282809608"
"0.3","rhoAOB","0.222430666666667","0.245482","0.235156","0.225147333333333","0.212458666666667","0.205894","0.044547368992363","0.0396346970641328","0.0368617294529893","0.0357266371047631","0.0352105893652639","0.0347535991859368"
"0.3","rhoOB","0.107751333333333","0.155328","0.172896666666667","0.176544666666667","0.17584","0.175482","0.0239910388292279","0.0298213050672247","0.0318351937180696","0.032099278931564","0.0319749376803766","0.0321258254468868"
"0.4","rhoAOB","0.2176715","0.245249","0.2381775","0.228785","0.216726","0.210317","0.0417879194357781","0.0364855604124681","0.0336071262925553","0.0323695621511225","0.0318215679252064","0.0301915661082099"
"0.4","rhoOB","0.0921525","0.129932","0.148913","0.157322","0.1592855","0.159045","0.0191626189323494","0.0238591135990039","0.0261736878791224","0.026723392935273","0.0269221000239017","0.0266271266829063"
"0.5","rhoAOB","0.2138108","0.2452604","0.2414944","0.2323668","0.2219864","0.2159264","0.0409905870436448","0.0358852081874505","0.0319439009815801","0.030280666268016","0.0292504593806217","0.0290844146125951"
"0.5","rhoOB","0.0808332","0.113336","0.1282884","0.1383748","0.1439828","0.1450124","0.0163126327721431","0.0200803044265416","0.0219931351844052","0.0232665265582512","0.0235775336744414","0.0240722452949315"
"0.6","rhoAOB","0.210260333333333","0.244464666666667","0.244687666666667","0.237477333333333","0.227552","0.223205","0.0408689549159918","0.0369394832979619","0.0320599214764904","0.0299048309828669","0.0285998869892527","0.0279593858808987"
"0.6","rhoOB","0.0723986666666667","0.0998953333333333","0.113287333333333","0.122322666666667","0.128418","0.130914333333333","0.0140767575322364","0.0171667852185656","0.0191666132728471","0.0200501282425333","0.0208535285228681","0.021471585557268"
"0.7","rhoAOB","0.208964857142857","0.242970857142857","0.247256571428571","0.242946571428571","0.235510571428571","0.232127142857143","0.0408996612223911","0.0382211728342511","0.0335039890158306","0.0307328303509458","0.0282466527197401","0.027929046417227"
"0.7","rhoOB","0.0659865714285714","0.088912","0.101897714285714","0.109079428571429","0.115155428571429","0.117144571428571","0.0123654195169178","0.0151090155053556","0.0169636257859845","0.0174744426258435","0.0185156834379876","0.0187340351515729"
"0.8","rhoAOB","0.20973375","0.23981","0.24915875","0.2487185","0.24505175","0.2422685","0.0405046762586418","0.0401711528606314","0.0365834560746157","0.0327875397068155","0.0305280181624486","0.0292718651944012"
"0.8","rhoOB","0.0606295","0.079926","0.09216025","0.09902425","0.10411075","0.10617775","0.0111360846345607","0.0135131060235403","0.014946530862243","0.015674122136438","0.0159771050640009","0.0164375880033366"
"0.9","rhoAOB","0.216235111111111","0.236326","0.248635555555556","0.252698666666667","0.253923777777778","0.252390666666667","0.0412586157045471","0.0422158350834925","0.0402190643239159","0.0366388727238875","0.0346561255136396","0.0336454408833632"
"0.9","rhoOB","0.0563968888888889","0.0725037777777778","0.0834531111111111","0.0908535555555556","0.0955597777777778","0.0975773333333333","0.0100670135509101","0.012115354902134","0.0133862880723991","0.0139159360941735","0.0142459534771153","0.0147731627628114"
"1","rhoAOB","0.241513","0.2447712","0.2494484","0.2526554","0.2558068","0.256549","0.0469994907016302","0.0452363336616521","0.043253619790747","0.0412843080388787","0.0402857514257435","0.0399219936320514"
"1","rhoOB","0.0528322","0.066071","0.0757872","0.0830894","0.0890986","0.0910716","0.0093304527700905","0.0108133922496687","0.0120254221230576","0.0123945217760511","0.0134240194602752","0.0137831299387001"
