"lambda","procedure","mean","sd"
"0.1","ADDIS-spending","0.072488","0.0251750738935493"
"0.1","AOB","0.028268","0.0138408975198694"
"0.1","OB","0.024272","0.0123044996495883"
"0.1","rhoAOB","0.213520666666667","0.0359145978189972"
"0.1","rhoOB","0.175214","0.0319559538891513"
"0.2","ADDIS-spending","0.0721273333333333","0.0252852295148076"
"0.2","AOB","0.0276806666666667","0.0139478446129876"
"0.2","OB","0.0238466666666667","0.0123914244211214"
"0.2","rhoAOB","0.214860666666667","0.0362569662070288"
"0.2","rhoOB","0.174718666666667","0.0320725106340557"
"0.3","ADDIS-spending","0.0726073333333333","0.0254833295750545"
"0.3","AOB","0.027798","0.0138479575442868"
"0.3","OB","0.0242413333333333","0.0124379305884397"
"0.3","rhoAOB","0.214736666666667","0.0368058194394886"
"0.3","rhoOB","0.175580666666667","0.032188469163476"
"0.4","ADDIS-spending","0.0726513333333333","0.0251670506072096"
"0.4","AOB","0.0273026666666667","0.0136835994809897"
"0.4","OB","0.0243326666666667","0.0123455307564078"
"0.4","rhoAOB","0.210129333333333","0.0367352449387636"
"0.4","rhoOB","0.175292","0.0319979063610424"
"0.5","ADDIS-spending","0.0721506666666667","0.0252348630414385"
"0.5","AOB","0.026002","0.0137565914844418"
"0.5","OB","0.0239786666666667","0.0124935200236777"
"0.5","rhoAOB","0.205510666666667","0.0345442822937221"
"0.5","rhoOB","0.174921333333333","0.0317502258489908"
"0.6","ADDIS-spending","0.0722346666666667","0.0253672482008531"
"0.6","AOB","0.0235193333333333","0.0128253077748107"
"0.6","OB","0.0240373333333333","0.0123673275282144"
"0.6","rhoAOB","0.189490666666667","0.0343148898301495"
"0.6","rhoOB","0.175080666666667","0.0326551019599211"
"0.7","ADDIS-spending","0.0727613333333333","0.0254360147904143"
"0.7","AOB","0.0214966666666667","0.0121253280423992"
"0.7","OB","0.024194","0.0121773320133648"
"0.7","rhoAOB","0.174002666666667","0.0322784166666697"
"0.7","rhoOB","0.175772666666667","0.0319735428000771"
"0.8","ADDIS-spending","0.0723","0.0248944165064643"
"0.8","AOB","0.0170013333333333","0.0108019391144973"
"0.8","OB","0.0242066666666667","0.0122745952597673"
"0.8","rhoAOB","0.152268666666667","0.0302420264719087"
"0.8","rhoOB","0.175342666666667","0.0321988894005001"
"0.9","ADDIS-spending","0.0726826666666667","0.0251368661792842"
"0.9","AOB","0.0109593333333333","0.0087184703459103"
"0.9","OB","0.0238893333333333","0.0121786300229647"
"0.9","rhoAOB","0.107562666666667","0.0257430272956666"
"0.9","rhoOB","0.175316666666667","0.0319797816957902"
