"signal_strength_p3","procedure","mean","sd"
"0.1","ADDIS-spending","6.4e-05","0.000505103467570056"
"0.1","AOB","3.8e-05","0.000388034865837737"
"0.1","OB","6.96e-05","0.000523051812270861"
"0.1","rhoAOB","0.0001432","0.000758123495957956"
"0.1","rhoOB","0.0002504","0.00099025143261193"
"0.2","ADDIS-spending","0.0012316","0.00232871289135716"
"0.2","AOB","0.0006748","0.00165919265066634"
"0.2","OB","0.000836","0.00179215657310355"
"0.2","rhoAOB","0.0054512","0.00472155142562129"
"0.2","rhoOB","0.0053516","0.00462213304129004"
"0.3","ADDIS-spending","0.0132856","0.00826436099201025"
"0.3","AOB","0.0059716","0.00513110380548145"
"0.3","OB","0.0049528","0.00428200954232613"
"0.3","rhoAOB","0.0533492","0.0153139907010263"
"0.3","rhoOB","0.0395064","0.0125917836044555"
"0.4","ADDIS-spending","0.0819312","0.0235507182521684"
"0.4","AOB","0.0329188","0.012156882229361"
"0.4","OB","0.0240912","0.00930584453095169"
"0.4","rhoAOB","0.2166148","0.0290229539183284"
"0.4","rhoOB","0.1452456","0.0241485650911104"
"0.5","ADDIS-spending","0.2601868","0.0418926796161399"
"0.5","AOB","0.1191084","0.0220321399541464"
"0.5","OB","0.0891752","0.017351870611014"
"0.5","rhoAOB","0.4922568","0.0356819810848195"
"0.5","rhoOB","0.348746","0.0356461856171864"
"0.6","ADDIS-spending","0.52421","0.048260741912252"
"0.6","AOB","0.3052884","0.0315937690385969"
"0.6","OB","0.2436296","0.0262580835655471"
"0.6","rhoAOB","0.7679256","0.029996340488204"
"0.6","rhoOB","0.6204212","0.0383625254499217"
"0.7","ADDIS-spending","0.7878464","0.0357614582368997"
"0.7","AOB","0.5884052","0.0333129582636971"
"0.7","OB","0.508052","0.0313592799095203"
"0.7","rhoAOB","0.9340972","0.017189511339477"
"0.7","rhoOB","0.8581808","0.0263150405566085"
"0.8","ADDIS-spending","0.9489808","0.0163859232638298"
"0.8","AOB","0.854256","0.0231687579109091"
"0.8","OB","0.799306","0.0250964648358036"
"0.8","rhoAOB","0.990634","0.00628945146415584"
"0.8","rhoOB","0.9742144","0.0106609098176382"
"0.9","ADDIS-spending","0.9963984","0.00388509804749943"
"0.9","AOB","0.9817248","0.00854645945154576"
"0.9","OB","0.969152","0.0108642486712114"
"0.9","rhoAOB","0.9996936","0.00111814313234328"
"0.9","rhoOB","0.9988556","0.0021573163980752"
"1","ADDIS-spending","1","0"
"1","AOB","0.9999992","5.65657137141997e-05"
"1","OB","0.999994","0.000154810841479736"
"1","rhoAOB","1","0"
"1","rhoOB","1","0"
