"signal_proportion_piA","procedure","mean","sd"
"0.1","ADDIS-spending","0.065166","0.0373669917602062"
"0.1","AOB","0.021522","0.0209056743665942"
"0.1","OB","0.0239","0.0216267605451479"
"0.1","rhoAOB","0.20135","0.0582456586852236"
"0.1","rhoOB","0.207144","0.0578758863934073"
"0.2","ADDIS-spending","0.068352","0.0284619940360905"
"0.2","AOB","0.023577","0.015462825773386"
"0.2","OB","0.024029","0.0151400158853319"
"0.2","rhoAOB","0.201819","0.041716127127602"
"0.2","rhoOB","0.192139","0.039654153933635"
"0.3","ADDIS-spending","0.0724593333333333","0.0252797245810142"
"0.3","AOB","0.02635","0.013480937414266"
"0.3","OB","0.0243506666666667","0.0123000517530339"
"0.3","rhoAOB","0.205572666666667","0.0347107937603839"
"0.3","rhoOB","0.174914","0.0319890161764599"
"0.4","ADDIS-spending","0.076724","0.0239164174470666"
"0.4","AOB","0.0290845","0.0127403136267963"
"0.4","OB","0.0241595","0.0107075919329465"
"0.4","rhoAOB","0.2102835","0.0311986291877755"
"0.4","rhoOB","0.1591265","0.027151762734157"
"0.5","ADDIS-spending","0.081762","0.0234691635164873"
"0.5","AOB","0.0329264","0.0120377187916719"
"0.5","OB","0.0242236","0.00927026411811886"
"0.5","rhoAOB","0.216028","0.0289664067718474"
"0.5","rhoOB","0.1447928","0.0238112781231203"
"0.6","ADDIS-spending","0.0873793333333333","0.0239316721996438"
"0.6","AOB","0.0383156666666667","0.0122200726864487"
"0.6","OB","0.02414","0.00842171421414953"
"0.6","rhoAOB","0.223097666666667","0.0281573825041607"
"0.6","rhoOB","0.130974","0.021056856809064"
"0.7","ADDIS-spending","0.0938248571428571","0.0247382673222151"
"0.7","AOB","0.0463165714285714","0.01305994116475"
"0.7","OB","0.02405","0.00776203834115983"
"0.7","rhoAOB","0.231809142857143","0.027944233612366"
"0.7","rhoOB","0.117534857142857","0.0186968202918911"
"0.8","ADDIS-spending","0.10171325","0.0261324021031643"
"0.8","AOB","0.06029525","0.0150528605686305"
"0.8","OB","0.02418675","0.00717561135913434"
"0.8","rhoAOB","0.24226475","0.0296079245364655"
"0.8","rhoOB","0.1064275","0.0164292189611548"
"0.9","ADDIS-spending","0.111224444444444","0.0282190833260959"
"0.9","AOB","0.0847031111111111","0.0188118976355523"
"0.9","OB","0.0240962222222222","0.00682192815824863"
"0.9","rhoAOB","0.252798","0.0339289729053081"
"0.9","rhoOB","0.0979017777777778","0.0149343919664916"
"1","ADDIS-spending","0.1233294","0.0313676439751036"
"1","AOB","0.1542524","0.0353341130381735"
"1","OB","0.0241838","0.00633689460093178"
"1","rhoAOB","0.2565662","0.0394700748192935"
"1","rhoOB","0.0909438","0.0138275363545414"
