"signal_position","procedure","fwer"
"begin","ADDIS-spending","7e-04"
"begin","AOB","4e-04"
"begin","OB","0"
"begin","rhoAOB","0.0084"
"begin","rhoOB","0.001"
"begin_middle","ADDIS-spending","1e-04"
"begin_middle","AOB","0"
"begin_middle","OB","0"
"begin_middle","rhoAOB","0.0081"
"begin_middle","rhoOB","0.0011"
"begin_end","ADDIS-spending","3e-04"
"begin_end","AOB","0"
"begin_end","OB","0"
"begin_end","rhoAOB","0.0149"
"begin_end","rhoOB","0.0037"
"middle_end","ADDIS-spending","6e-04"
"middle_end","AOB","0"
"middle_end","OB","1e-04"
"middle_end","rhoAOB","0.0163"
"middle_end","rhoOB","0.0127"
"end","ADDIS-spending","0.0029"
"end","AOB","0"
"end","OB","0"
"end","rhoAOB","0.0328"
"end","rhoOB","0.0329"
"no_cluster_shuffle","ADDIS-spending","0.0171"
"no_cluster_shuffle","AOB","0.0068"
"no_cluster_shuffle","OB","0.0125"
"no_cluster_shuffle","rhoAOB","0.0366"
"no_cluster_shuffle","rhoOB","0.0238"
