"signal_position","procedure","mean","sd"
"begin","ADDIS-spending","0.239634666666667","0.0664722962289549"
"begin","AOB","0.293441333333333","0.0773348258704843"
"begin","OB","0.0639593333333333","0.018485972682212"
"begin","rhoAOB","0.378525333333333","0.0708561506454967"
"begin","rhoOB","0.168418666666667","0.0318583111793315"
"begin_middle","ADDIS-spending","0.211075333333333","0.0567379259764868"
"begin_middle","AOB","0.195879333333333","0.0555400127832958"
"begin_middle","OB","0.0563426666666667","0.0171369630524599"
"begin_middle","rhoAOB","0.388358","0.0717618664696968"
"begin_middle","rhoOB","0.168436666666667","0.0327802294566895"
"begin_end","ADDIS-spending","0.163432","0.0454562207272039"
"begin_end","AOB","0.194517333333333","0.0568408021339801"
"begin_end","OB","0.0553986666666667","0.0168053687267434"
"begin_end","rhoAOB","0.379241333333333","0.0716238917367668"
"begin_end","rhoOB","0.167658666666667","0.0326720134032747"
"middle_end","ADDIS-spending","0.096022","0.0351503621558137"
"middle_end","AOB","0.00751","0.00706418205063985"
"middle_end","OB","0.00682066666666667","0.00674246468904423"
"middle_end","rhoAOB","0.364416666666667","0.0654042535524211"
"middle_end","rhoOB","0.189982666666667","0.0316073416535564"
"end","ADDIS-spending","0.022302","0.0128437430921872"
"end","AOB","0.006368","0.00648104061859368"
"end","OB","0.00573666666666667","0.00614392087068636"
"end","rhoAOB","0.352210666666667","0.0692942342461235"
"end","rhoOB","0.179807333333333","0.0314155555230843"
"no_cluster_shuffle","ADDIS-spending","0.07196","0.0251404818292109"
"no_cluster_shuffle","AOB","0.0259526666666667","0.013370999884801"
"no_cluster_shuffle","OB","0.0239153333333333","0.0121934649916787"
"no_cluster_shuffle","rhoAOB","0.20501","0.034496650589444"
"no_cluster_shuffle","rhoOB","0.174739333333333","0.0317854574710161"
