"rectangular_kernel_bandwidth_h","procedure","mfdr_bandwidth_1","mfdr_bandwidth_2","mfdr_bandwidth_5","mfdr_bandwidth_10","mfdr_bandwidth_50","mfdr_bandwidth_100"
"0.1","rhoALORD","0.15052370541978","0.150182404029555","0.146747348105582","0.140036934335124","0.0892677435947133","0.0546908182386009"
"0.1","rhoLORD","0.14016533932239","0.13967479621631","0.137095903206503","0.131959482863008","0.102894494823136","0.0723570190641248"
"0.2","rhoALORD","0.14519878441538","0.14423928974138","0.142450580449558","0.137734208408952","0.105781232983438","0.0720913704235082"
"0.2","rhoLORD","0.108582757146397","0.107212796057017","0.107068235998952","0.104761952239647","0.089929409969786","0.0705980296933537"
"0.3","rhoALORD","0.138907867650898","0.139166722010295","0.13751860056572","0.134170250092187","0.111548046235779","0.0829486455568103"
"0.3","rhoLORD","0.0844916286275257","0.0831639275708785","0.0825084054872164","0.0822317951138912","0.0747478940897818","0.0634128414264036"
"0.4","rhoALORD","0.132477553573247","0.13250121089735","0.130341978473434","0.128502484636528","0.111945202880778","0.0910800169027433"
"0.4","rhoLORD","0.0652798770672091","0.0639016184643129","0.0630470210630722","0.0632606661995124","0.0588832226646795","0.0530031658255301"
"0.5","rhoALORD","0.124006193204607","0.123320932729769","0.122045882457515","0.119838711189574","0.108313271275844","0.0931807045452804"
"0.5","rhoLORD","0.0496340325056523","0.0481918631399094","0.0478786261048967","0.0480372436052025","0.0455499067418863","0.0419502149218666"
"0.6","rhoALORD","0.113762849888682","0.113427369204504","0.112455763168781","0.110636662439847","0.102330566608983","0.091848801507411"
"0.6","rhoLORD","0.0366961537804251","0.0355287414110943","0.0354555702818505","0.0352881034161285","0.0340677013439671","0.0318464716497867"
"0.7","rhoALORD","0.101432819189846","0.101512017184419","0.100601923167144","0.0994511736178901","0.0939595510658068","0.0868072853851343"
"0.7","rhoLORD","0.0254079694573524","0.024670699085732","0.0245813793329617","0.0245314983596644","0.0240890142862641","0.0229592261402239"
"0.8","rhoALORD","0.0863375450861993","0.0861718967309573","0.0859406124591405","0.0855832525913758","0.0815156911159312","0.0766609961110515"
"0.8","rhoLORD","0.0157954026979775","0.0153688694911475","0.0152941722330007","0.0153613007816225","0.0150803161363133","0.0146965670991041"
"0.9","rhoALORD","0.0635469352462992","0.0635864008043568","0.0634990499801954","0.0632168526847176","0.0598599984605712","0.0564206301557744"
"0.9","rhoLORD","0.00743505539298994","0.00720390161541728","0.00715582283956673","0.00714487059709667","0.00709660667087705","0.00692575321382791"
"1","rhoALORD","0","0","0","0","0","0"
"1","rhoLORD","0","0","0","0","0","0"
