"signal_proportion_piA","procedure","mean","sd"
"0.1","ADDIS","0.161452","0.164661237175915"
"0.1","ALORD","0.029822","0.0477296147859247"
"0.1","LORD","0.039076","0.0590726263299521"
"0.1","rhoALORD","0.59882","0.101487524217301"
"0.1","rhoLORD","0.616928","0.103389901649902"
"0.1","SAFFRON","0.029822","0.0477296147859247"
"0.2","ADDIS","0.392367","0.195651514848534"
"0.2","ALORD","0.105194","0.105625555808261"
"0.2","LORD","0.125575","0.118547605325763"
"0.2","rhoALORD","0.716899","0.060945920614295"
"0.2","rhoLORD","0.718804","0.0602014285976713"
"0.2","SAFFRON","0.105194","0.105625555808261"
"0.3","ADDIS","0.543867333333333","0.164442306918152"
"0.3","ALORD","0.267440666666667","0.137362339124177"
"0.3","LORD","0.278113333333333","0.145500109833393"
"0.3","rhoALORD","0.781992666666667","0.0450725487990562"
"0.3","rhoLORD","0.768029333333333","0.0444378536167217"
"0.3","SAFFRON","0.267440666666667","0.137362339124177"
"0.4","ADDIS","0.6313025","0.121413838279508"
"0.4","ALORD","0.439054","0.117955442573216"
"0.4","LORD","0.418497","0.132278251215287"
"0.4","rhoALORD","0.827655","0.0359371691012564"
"0.4","rhoLORD","0.798449","0.0359988054023885"
"0.4","SAFFRON","0.4390535","0.117955427963484"
"0.5","ADDIS","0.6758048","0.0953641155173834"
"0.5","ALORD","0.5835664","0.082640322684107"
"0.5","LORD","0.5299672","0.108387804275996"
"0.5","rhoALORD","0.8632068","0.0290075400111376"
"0.5","rhoLORD","0.8190504","0.0301273866404402"
"0.5","SAFFRON","0.5835532","0.0826343561325514"
"0.6","ADDIS","0.704634333333333","0.0727869529956157"
"0.6","ALORD","0.696913","0.0529707772601703"
"0.6","LORD","0.614259666666667","0.082286235571738"
"0.6","rhoALORD","0.894165333333333","0.0237485381485958"
"0.6","rhoLORD","0.834943666666667","0.0267152760594164"
"0.6","SAFFRON","0.696766666666667","0.0529522988183759"
"0.7","ADDIS","0.721588","0.0580496596665371"
"0.7","ALORD","0.786891428571429","0.0373729538828744"
"0.7","LORD","0.674311428571429","0.061229354349002"
"0.7","rhoALORD","0.920771428571429","0.0195560909449945"
"0.7","rhoLORD","0.846818857142857","0.0240106783591703"
"0.7","SAFFRON","0.785972571428571","0.0371987029286566"
"0.8","ADDIS","0.73209725","0.0472799979616986"
"0.8","ALORD","0.86980475","0.0274018035596442"
"0.8","LORD","0.71733275","0.0469007075647533"
"0.8","rhoALORD","0.9462045","0.0156790868077931"
"0.8","rhoLORD","0.8577225","0.0213809777225186"
"0.8","SAFFRON","0.86490275","0.0269815949877747"
"0.9","ADDIS","0.739505333333333","0.0360272004863055"
"0.9","ALORD","0.937422","0.0189169092092716"
"0.9","LORD","0.751282888888889","0.0368213960859512"
"0.9","rhoALORD","0.971385777777778","0.0116841324392549"
"0.9","rhoLORD","0.866389555555556","0.0196027626351251"
"0.9","SAFFRON","0.918936666666667","0.018604811147937"
"1","ADDIS","0.7445882","0.0303042943456135"
"1","ALORD","0.9834816","0.00951034731808525"
"1","LORD","0.7830914","0.0286491766648251"
"1","rhoALORD","0.9895092","0.0068729498109553"
"1","rhoLORD","0.8749764","0.0180943798926178"
"1","SAFFRON","0.9396742","0.0122972101103319"
