"signal_position","procedure","mfdr"
"begin","ADDIS","0.0104391390469044"
"begin","ALORD","0.0296623359047232"
"begin","LORD","0.0024991563385354"
"begin","rhoALORD","0.0909358664225014"
"begin","rhoLORD","0.0166860125471127"
"begin","SAFFRON","0.0220082861883887"
"begin_middle","ADDIS","0.00967444560310401"
"begin_middle","ALORD","0.02596220342492"
"begin_middle","LORD","0.00221737942011577"
"begin_middle","rhoALORD","0.0940013476445135"
"begin_middle","rhoLORD","0.0183218242412649"
"begin_middle","SAFFRON","0.0163133156562558"
"begin_end","ADDIS","0.00238516312188765"
"begin_end","ALORD","0.00526742585525563"
"begin_end","LORD","2.92581022999794e-06"
"begin_end","rhoALORD","0.0535667715277665"
"begin_end","rhoLORD","0.016214691846808"
"begin_end","SAFFRON","0.000726723692723175"
"middle_end","ADDIS","0.00803567812499256"
"middle_end","ALORD","0.0173469133028783"
"middle_end","LORD","0.00220328225587089"
"middle_end","rhoALORD","0.0550245753560147"
"middle_end","rhoLORD","0.0148309226149589"
"middle_end","SAFFRON","0.0131558661801737"
"end","ADDIS","0"
"end","ALORD","0"
"end","LORD","0"
"end","rhoALORD","0.000586111152503142"
"end","rhoLORD","0.000829599728287807"
"end","SAFFRON","0"
"no_cluster_shuffle","ADDIS","0.0422433327217547"
"no_cluster_shuffle","ALORD","0.015470218672381"
"no_cluster_shuffle","LORD","0.0195741943662567"
"no_cluster_shuffle","rhoALORD","0.134715935839294"
"no_cluster_shuffle","rhoLORD","0.0822909389555053"
"no_cluster_shuffle","SAFFRON","0.015470218672381"
